year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1872,AL,79444,90272,0,0,{},169716,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,AR,37927,41373,0,0,{},79300,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,CA,39060,51181,920,1146,"{""Charles O'Conor"": 920}",91387,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,CT,45695,50314,0,0,{},96009,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,DE,10205,11129,488,488,"{""Charles O'Conor"": 488}",21822,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,FL,15427,17763,0,0,{},33190,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,GA,76356,62550,0,0,{},138906,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,IL,184884,241936,3151,3151,"{""Charles O'Conor"": 3151}",429971,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,IN,163632,186147,1417,1417,"{""Charles O'Conor"": 1417}",351196,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,IA,81636,131566,2221,3163,"{""Charles O'Conor"": 2221}",216365,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,KS,32970,66805,156,737,"{""Charles O'Conor"": 156}",100512,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,KY,99995,88766,2374,2374,"{""Charles O'Conor"": 2374}",191135,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,LA,57029,71663,0,0,{},128692,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,ME-AL,29097,61426,0,0,{},90523,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MD,67687,66760,0,0,{},134447,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MA,59195,133455,0,214,"{""Other"": 214}",192864,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MI,78551,138758,2875,4146,"{""Charles O'Conor"": 2875}",221455,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MN,35211,55708,0,0,{},90919,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MS,47282,82175,0,0,{},129457,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,MO,151434,119196,2429,2429,"{""Charles O'Conor"": 2429}",273059,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NE-AL,7603,18329,0,0,{},25932,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NV,6236,8413,0,0,{},14649,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NH,31425,37168,0,313,"{""Other"": 313}",68906,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NJ,76456,91656,0,0,{},168112,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NY,387282,440738,0,0,{},828020,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NC,70130,94772,261,261,"{""Charles O'Conor"": 261}",165163,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,OH,244321,281852,1163,3263,"{""Charles O'Conor"": 1163}",529436,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,OR,7742,11818,587,587,"{""Charles O'Conor"": 587}",20147,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,PA,212041,349589,0,1632,"{""Other"": 1632}",563262,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,RI,5329,13665,0,0,{},18994,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,SC,22699,72290,204,463,"{""Charles O'Conor"": 204}",95452,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,TN,93391,85655,0,0,{},179046,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,TX,66546,47468,2580,2580,"{""Charles O'Conor"": 2580}",116594,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,VT,10926,41480,553,574,"{""Charles O'Conor"": 553}",52980,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,VA,91647,93463,85,85,"{""Charles O'Conor"": 85}",185195,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,WV,29532,32320,615,615,"{""Charles O'Conor"": 615}",62467,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,WI,86477,104994,834,834,"{""Charles O'Conor"": 834}",192305,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
1872,NATIONAL,2833710,3597439,23054,40834,"{""Charles O'Conor"": 23054}",6471983,https://en.wikipedia.org/wiki/1872_United_States_presidential_election
