year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1864,CA,43838,62140,0,8,"{""Other"": 8}",105986,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,CT,42288,44693,0,0,{},86981,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,DE,8767,8155,0,0,{},16922,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IL,158724,189512,0,0,{},348236,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IN,130233,150422,0,0,{},280655,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IA,49525,88500,0,0,{},138025,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,KS,3836,17089,0,655,"{""Other"": 655}",21580,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,KY,64301,27787,0,0,{},92088,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,LA,0,0,0,0,{},0,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,ME-AL,46992,67805,0,0,{},114797,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MD,32739,40153,0,0,{},72892,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MA,48745,126742,0,3,"{""Other"": 3}",175490,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MI,68513,79149,0,0,{},147662,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MN,17357,25055,0,10,"{""Other"": 10}",42422,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MO,31596,72750,0,0,{},104346,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,NV,6594,9826,0,0,{},16420,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,NH,33034,36596,0,0,{},69630,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,NJ,68024,60723,0,0,{},128747,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,NY,361986,368735,0,0,{},730721,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,OH,205599,265654,0,0,{},471253,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,OR,8457,9888,0,0,{},18345,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,PA,276316,296391,0,0,{},572707,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,RI,8470,13962,0,0,{},22432,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,TN,5000,30000,0,0,{},35000,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,VT,13322,42420,0,0,{},55742,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,WV,11078,23799,0,0,{},34877,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,WI,65884,83458,0,0,{},149342,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,NATIONAL,1806227,2211317,0,658,"{""Other"": 658}",4018202,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
